country;iata_code;name;latitude;longitude;alt_codes
ABW;AUA;Queen Beatrix International Airport;12.5014;-70.0153;
AUS;ASP;Alice Springs Airport;-23.8045;133.8953;
AUS;AYQ;Ayers Rock Airport;-25.1861;130.9756;
AUS;CNS;Cairns Airport;-16.8747;145.7542;
AUS;DRW;Darwin International Airport;-12.4150;130.8753;
AUS;LDH;Lord Howe Island Airport;-31.5384;159.0760;
AUS;PER;Perth Airport;-31.9403;115.9672;
AUS;SYD;Sydney Kingsford Smith Airport;-33.9461;151.1772;
BEL;BRU;Brussels Airport;50.90080;4.48400;
BHS;NAS;Lynden Pindling International Airport;25.0389;-77.4662;
BRB;BGI;Grantley Adams International Airport;13.0744;-59.4922;
CAN;YQX;Gander International Airport;48.9369;-54.5681;
CAN;YUL;Montréal–Trudeau International Airport;45.4657;-73.7481;
CAN;YVR;Vancouver International Airport;49.1933;-123.1757;
CAN;YYC;Calgary International Airport;51.1139;-114.0203;
CAN;YYZ;Toronto Pearson International Airport;43.6777;-79.6248;
CHN;PEK;Beijing Capital International Airport;40.0778;116.5919;
CHN;SHA;Shanghai Hongqiao International Airport;31.1981;121.3364;
CHN;SIA;Xiguan Airport;34.3767;109.1200;
CZE;PRG;Václav Havel Airport Prague;50.10083;14.26000;
DEU;FRA;Frankfurt Airport;50.0379;8.5622;
DEU;MUC;Munich Airport;48.3538;11.7861;
DNK;CPH;Copenhagen Airport;55.6136;12.6450;
DOM;PUJ;Punta Cana International Airport;18.5675;-68.3633;
EGY;CAI;Cairo International Airport;30.1198;31.4033;
ESP;BCN;Barcelona–El Prat Airport;41.2974;2.0833;
ESP;GRO;Girona–Costa Brava Airport;41.900833;2.760556;
FIN;HEL;Helsinki-Vantaa Airport;60.3172;24.9633;
FRA;CDG;Charles de Gaulle Airport;49.0097;2.5479;
FRA;NCE;Nice Côte d'Azur Airport;43.6597;7.2133;
FRA;ORY;Paris Orly Airport;48.7262;2.3652;
GBR;BOH;Bournemouth Airport;50.78;-1.8425;
GBR;EDI;Edinburgh Airport;55.9485;-3.3634;
GBR;GLA;Glasgow International Airport;55.8651;-4.4332;
GBR;LGW;London Gatwick Airport;51.1536;-0.1822;
GBR;LHR;London Heathrow Airport;51.4700;-0.4543;
GBR;LTN;London Luton Airport;51.874722;-0.368333;
GBR;MAN;Manchester Airport;53.3554;-2.2775;
GBR;STN;London Stansted Airport;51.885;0.235;
GRC;ATH;Athens International Airport;37.9372;23.9452;
HUN;BUD;Budapest Ferenc Liszt International Airport;47.43700;19.25720;
IDN;BDJ;Banjarmasin Syamsudin Noor International Airport;-3.442222;114.7625;
IDN;CGK;Jakarta Soekarno–Hatta International Airport;-6.125556;106.655833;
IDN;PKY;Palangkaraya Tjilik Riwut Airport;-2.225;113.9425;
IND;BLR;Kempegowda International Airport;13.19938;77.71014;
IND;CCU;Netaji Subhas Chandra Bose International Airport;22.65280;88.44130;
IND;DEL;Indira Gandhi International Airport;28.55616;77.10028;
IND;HYD;Rajiv Gandhi International Airport;17.23730;78.42350;
IRL;DUB;Dublin Airport;53.421389;-6.27;
IRL;DUB;Dublin Airport;53.4286;-6.2625;
ISL;KEF;Keflavík International Airport;63.9850;-22.6056;
ITA;AHO;Alghero - Riviera del Corallo Airport;40.631111;8.288611;
ITA;BGY;Milan Bergamo Airport;45.668889;9.700278;
ITA;BLQ;Bologna Guglielmo Marconi Airport;44.53560;11.28821;
ITA;FCO;Leonardo da Vinci–Fiumicino Airport;41.8003;12.2389;
ITA;FLR;Florence Airport, Peretola;43.81000;11.20510;
ITA;NAP;Naples International Airport;40.8860;14.2908;
ITA;PSA;Pisa International Airport;43.68389;10.39278;
JPN;HND;Tokyo Haneda Airport;35.5494;139.7798;
JPN;NRT;Narita International Airport;35.7719;140.3875;
KEN;KEU;Keekorok Airport;-1.5864;35.2576;
KEN;NBO;Jomo Kenyatta International Airport;-1.3192;36.9275;
MEX;CUN;Cancún International Airport;21.0367;-86.8769;
MEX;CZA;Chichen Itza International Airport;20.6413;-88.4462;
MEX;MEX;Benito Juarez International Airport;19.4363;-99.0721;
MLT;MLA;Malta International Airport;35.8575;14.4775;
NLD;AMS;Amsterdam Airport Schiphol;52.3081;4.7642;
NOR;BGO;Bergen Airport, Flesland;60.2936;5.2181;
NZL;AKL;Auckland International Airport;-37.0048;174.7883;
NZL;CHC;Christchurch International Airport;-43.4878;172.5339;
PER;CUZ;Alejandro Velasco Astete International Airport;-13.53556;-71.94361;
PER;LIM;Jorge Chávez International Airport;-12.02194;-77.11444;
POL;KRK;John Paul II International Airport Kraków-Balice;50.07778;19.78472;
POL;WMI;Warsaw Modlin Airport;52.45110;20.65180;
PRI;SJU;Luis Muñoz Marín International Airport;18.4390;-66.0021;
PRT;LIS;Humberto Delgado Airport;38.7742;-9.1342;
PYF;PPT;Faa'a International Airport;-17.5567;-149.6114;
RUS;LED;Pulkovo Airport;59.8003;30.2625;
RUS;SVO;Sheremetyevo International Airport;55.9728;37.4147;
SWE;ARN;Stockholm Arlanda Airport;59.6519;17.9186;
TCA;PLS;Providenciales International Airport;21.7736;-72.2658;
THA;BKK;Bangkok Suvarnabhumi Airport;13.6925;100.75;
THA;CNX;Chiang Mai International Airport;18.766667;98.9625;
THA;NAN;Nan Nakhon Airport;18.8078;100.7833;
TUR;IST;Istanbul Airport;41.2753;28.7519;
USA;ABQ;Albuquerque International Sunport;35.0403;-106.6092;
USA;ADQ;Kodiak Airport;57.7500;-152.4939;
USA;AGO;Magnolia Municipal Airport;33.2275;-93.2169;
USA;AKN;King Salmon Airport;58.6767;-156.6492;
USA;ALB;Albany International Airport;42.7492;-73.8017;
USA;ANC;Ted Stevens Anchorage International Airport;61.1743;-149.9975;
USA;APN;Alpena County Regional Airport;45.07808;-83.56031;
USA;ATL;Hartsfield–Jackson Atlanta International Airport;33.6407;-84.4277;
USA;ATW;Outagamie County Regional Airport;44.2581;-88.5192;
USA;ATY;Watertown Regional Airport;44.91389;-97.15472;
USA;AUS;Austin–Bergstrom International Airport;30.1944;-97.6700;
USA;BDL;Bradley International Airport;41.9389;-72.6833;
USA;BGR;Bangor International Airport;44.8072;-68.8281;
USA;BHM;Birmingham-Shuttlesworth International Airport;33.5629;-86.7535;
USA;BIL;Billings Logan International Airport;45.8078;-108.5428;
USA;BIS;Bismarck Municipal Airport;46.7728;-100.7458;
USA;BJI;Bemidji Regional Airport;47.51083;-94.93472;
USA;BNA;Nashville International Airport;36.1317;-86.6688;
USA;BOI;Boise Airport;43.5644;-116.2228;
USA;BOS;Logan International Airport;42.3656;-71.0096;
USA;BRW;Wiley Post–Will Rogers Memorial Airport;71.2856;-156.7661;
USA;BTV;Burlington International Airport;44.4719;-73.1533;
USA;BUR;Hollywood Burbank Airport;34.2006;-118.3586;
USA;BWI;Baltimore/Washington International Airport;39.1754;-76.6684;
USA;BZN;Bozeman Yellowstone International Airport;45.7775;-111.1531;
USA;CAE;Columbia Metropolitan Airport;33.9389;-81.1194;
USA;CDV;Merle K. (Mudhole) Smith Airport;60.4917;-145.4775;
USA;CIU;Chippewa County International Airport;46.25083;-84.47250;
USA;CLE;Cleveland Hopkins International Airport;41.4075;-81.8511;
USA;CLT;Charlotte Douglas International Airport;35.2140;-80.9431;
USA;CMH;John Glenn Columbus International Airport;39.9950;-82.8892;
USA;CVG;Cincinnati/Northern Kentucky International Airport;39.0533;-84.6630;
USA;CXC;Chitina Airport;61.582778;-144.428056;
USA;DAL;Dallas Love Field;32.8471;-96.8518;
USA;DAY;James M. Cox Dayton International Airport;39.9025;-84.2194;
USA;DCA;Ronald Reagan Washington National Airport;38.8512;-77.0402;
USA;DEN;Denver International Airport;39.8561;-104.6737;
USA;DFW;Dallas/Fort Worth International Airport;32.8998;-97.0403;
USA;DSM;Des Moines International Airport;41.53389;-93.66306;
USA;DTW;Detroit Metropolitan Airport;42.2162;-83.3554;
USA;ELP;El Paso International Airport;31.8072;-106.3775;
USA;EWR;Newark Liberty International Airport;40.6895;-74.1745;
USA;EYW;Key West International Airport;24.5561;-81.7594;
USA;FAI;Fairbanks International Airport;64.8150;-147.8564;
USA;FLL;Fort Lauderdale–Hollywood International Airport;26.0726;-80.1527;
USA;FNT;Bishop International Airport;42.9656;-83.7436;
USA;FSD;Sioux Falls Regional Airport;43.5820;-96.7419;
USA;GCC;Gillette-Campbell County Airport;44.34889;-105.53944;
USA;GEG;Spokane International Airport;47.6199;-117.5340;
USA;GSO;Piedmont Triad International Airport;36.0978;-79.9372;
USA;HNL;Daniel K. Inouye International Airport;21.3187;-157.9225;
USA;HOU;William P. Hobby Airport;29.6456;-95.2789;
USA;IAD;Washington Dulles International Airport;38.9519;-77.4481;
USA;IAH;George Bush Intercontinental Airport;29.9902;-95.3368;
USA;ICT;Wichita Dwight D. Eisenhower National Airport;37.6499;-97.4331;
USA;INL;Falls International Airport;48.5661;-93.4031;
USA;JAN;Jackson–Medgar Wiley Evers International Airport;32.3111;-90.0758;
USA;JAX;Jacksonville International Airport;30.4908;-81.6833;
USA;JFK;John F. Kennedy International Airport;40.6413;-73.7781;IDL
USA;JNU;Juneau International Airport;58.3550;-134.5764;
USA;KOA;Kona International Airport;19.738889;-156.045556;
USA;LAR;Laramie Regional Airport;41.31278;-105.67556;
USA;LAS;Harry Reid International Airport;36.0840;-115.1537;
USA;LAX;Los Angeles International Airport;33.9416;-118.4085;
USA;LFT;Lafayette Regional Airport;30.2053;-91.9875;
USA;LGA;LaGuardia Airport;40.7769;-73.8740;
USA;LIH;Lihue Airport;21.976111;-159.338889;
USA;LIT;Clinton National Airport;34.7294;-92.2244;
USA;LNK;Lincoln Airport;40.85208;-96.75777;
USA;LUP;Kalaupapa Airport;21.2111;-156.9736;
USA;MCI;Kansas City International Airport;39.2975;-94.7139;
USA;MCO;Orlando International Airport;28.4312;-81.3081;
USA;MDW;Chicago Midway International Airport;41.7868;-87.7522;
USA;MEM;Memphis International Airport;35.0400;-89.9819;
USA;MFR;Rogue Valley International–Medford Airport;42.3742;-122.8735;
USA;MHT;Manchester–Boston Regional Airport;42.9283;-71.4375;
USA;MIA;Miami International Airport;25.7959;-80.2870;
USA;MKE;General Mitchell International Airport;42.9469;-87.9022;
USA;MKK;Molokai Airport;21.152778;-157.096389;
USA;MLI;Quad City International Airport;41.4486;-90.5075;
USA;MLU;Monroe Regional Airport;32.5108;-92.0378;
USA;MOB;Mobile Regional Airport;30.69142;-88.24283;
USA;MOT;Minot International Airport;48.2594;-101.2803;
USA;MSO;Missoula Montana Airport;46.9164;-114.0906;
USA;MSP;Minneapolis–Saint Paul International Airport;44.8848;-93.2223;
USA;MSY;Louis Armstrong New Orleans International Airport;29.9933;-90.2581;
USA;OAK;Oakland International Airport;37.7214;-122.2208;
USA;OGG;Kahului Airport;20.898611;-156.430556;
USA;OKC;Will Rogers World Airport;35.3931;-97.6008;
USA;OMA;Eppley Airfield;41.3011;-95.8903;
USA;OME;Nome Airport;64.5122;-165.4453;
USA;ONT;Ontario International Airport;34.0561;-117.6011;
USA;ORD;O'Hare International Airport;41.9742;-87.9073;
USA;ORF;Norfolk International Airport;36.8944;-76.2008;
USA;OSU;Ohio State University Airport;40.0795;-83.0732;
USA;OTZ;Ralph Wien Memorial Airport;66.8906;-162.6042;
USA;PDX;Portland International Airport;45.5898;-122.5951;
USA;PGD;Punta Gorda Airport;26.9197;-81.9906;
USA;PHL;Philadelphia International Airport;39.8744;-75.2424;
USA;PHX;Phoenix Sky Harbor International Airport;33.4353;-112.0000;
USA;PIE;St. Pete–Clearwater International Airport;27.9102;-82.6874;
USA;PIT;Pittsburgh International Airport;40.49152;-80.23287;
USA;PNS;Pensacola International Airport;30.4733;-87.1867;
USA;PVD;Theodore Francis Green Memorial State Airport;41.7239;-71.4283;
USA;PWM;Portland International Jetport;43.6462;-70.3093;
USA;RAP;Rapid City Regional Airport;44.04532;-103.05722;
USA;RDD;Redding Municipal Airport;40.5089;-122.2933;
USA;RDM;Roberts Field;44.2541;-121.1499;
USA;RDU;Raleigh–Durham International Airport;35.8772;-78.7889;
USA;RNO;Reno–Tahoe International Airport;39.4992;-119.7681;
USA;ROW;Roswell International Air Center;33.3017;-104.5306;
USA;RST;Rochester International Airport;43.9083;-92.5000;
USA;RSW;Southwest Florida International Airport;26.5361;-81.7553;
USA;SAN;San Diego International Airport;32.7338;-117.1933;
USA;SAT;San Antonio International Airport;29.5267;-98.4719;
USA;SDP;Sand Point Airport;55.3137;-160.5214;
USA;SEA;Seattle–Tacoma International Airport;47.4502;-122.3088;
USA;SFO;San Francisco International Airport;37.6213;-122.3790;
USA;SJC;San Jose International Airport;37.36395;-121.92894;
USA;SLC;Salt Lake City International Airport;40.7899;-111.9791;
USA;SMF;Sacramento International Airport;38.6956;-121.5908;
USA;SNA;John Wayne Airport;33.6756;-117.8683;
USA;SRQ;Sarasota–Bradenton International Airport;27.3956;-82.5544;
USA;STL;St. Louis Lambert International Airport;38.7487;-90.3700;
USA;SUX;Sioux Gateway Airport;42.4025;-96.3844;
USA;SWF;Stewart International Airport;41.5042;-74.1047;
USA;TPA;Tampa International Airport;27.9755;-82.5332;
USA;TUS;Tucson International Airport;32.1161;-110.9411;
USA;VPS;Destin–Fort Walton Beach Airport;30.4955;-86.5498;
USA;YAK;Yakutat Airport;59.5033;-139.6603;
BMU;BDA;L.F. Wade International Airport;32.36417;-64.67861;
CUW;CUR;Curaçao International Airport;12.1889;-68.9598;
USA;GON;Groton-New London Airport;41.33006;-72.04514;
USA;GUM;Antonio B. Won Pat International Airport;13.4839;144.797;
ECU;GYE;José Joaquín de Olmedo International Airport;-2.1571;-79.8836;
USA;HPN;Westchester County Airport;41.067;-73.7076;
EGY;HRG;Hurghada International Airport;27.1783;33.7994;
CRI;LIR;Daniel Oduber Quirós International Airport;10.5933;-85.5444;
LUX;LUX;Luxembourg Airport;49.6266;6.2115;
